Test,n,K,L,DP_ms,flow_ms,regret_ms,auto_ms
1,259,256,120,16857,335,38,38
2,255,175,68,9398,285,40,37
3,203,116,41,2571,226,37,36
4,250,146,60,6297,264,39,37
5,249,187,75,10228,289,37,37
6,256,212,84,13597,306,37,37
7,263,213,74,14499,313,40,38
8,243,137,55,5175,255,39,37
9,200,174,84,5829,255,39,36
10,227,115,52,3003,233,45,36
11,1906,1060,420,-1,6125,65,65
12,1550,855,334,-1,4064,58,57
13,1566,939,435,-1,4424,62,59
14,1816,1687,738,-1,8571,65,63
15,1642,1589,644,-1,7227,61,61
16,1808,1206,528,-1,6436,63,62
17,1712,965,462,-1,5023,61,60
18,1521,761,258,-1,3597,58,57
19,1676,649,247,-1,3468,60,60
20,1813,717,331,-1,4216,77,81
21,924382,587644,238369,-1,-1,17650,18879
22,998440,592878,214348,-1,-1,19088,20697
23,953053,609959,223703,-1,-1,18208,19540
24,676052,384489,171682,-1,-1,12890,13529
25,725194,646974,264907,-1,-1,13780,14874
26,849061,382786,161126,-1,-1,16206,17158
27,915846,900348,369371,-1,-1,17496,19122
28,733562,332890,136082,-1,-1,13935,14710
29,682079,271826,93642,-1,-1,12956,13583
30,563640,312366,126293,-1,-1,10695,11208
